	premise	hypothesis	insertion_pair	X_grammar	Y_grammar	insertion_rel	source	context_monotonicity	context	gold_label	model_predictions	composite
0	i can not do without fruit in my coffee .	i can not do without food in my coffee .	 fruit,  food	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	2	0
1	i can not do without oysters in my coffee .	i can not do without seafood in my coffee .	 oysters,  seafood	p	m	leq	MED	up	I can not do without x in my coffee.	entailment	2	0
3	i can not do without rap in my coffee .	i can not do without food in my coffee .	 rap,  food	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
7	i can not do without rap in my coffee .	i can not do without music in my coffee .	 rap,  music	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
10	i can not do without pork in my coffee .	i can not do without meat in my coffee .	 pork,  meat	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
11	i can not do without brown sugar in my coffee .	i can not do without sugar in my coffee .	 brown sugar,  sugar	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
12	i can not do without mittens in my coffee .	i can not do without food in my coffee .	 mittens,  food	p	m	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
13	i can not do without peaches in my coffee .	i can not do without clothes in my coffee .	 peaches,  clothes	p	p	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
14	i can not do without women in my coffee .	i can not do without people in my coffee .	 women,  people	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
15	i can not do without hats in my coffee .	i can not do without food in my coffee .	 hats,  food	p	m	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
17	i can not do without apple pie in my coffee .	i can not do without pie in my coffee .	 apple pie,  pie	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
20	i can not do without snow in my coffee .	i can not do without weather in my coffee .	 snow,  weather	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
25	i can not do without files in my coffee .	i can not do without things in my coffee .	 files,  things	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
26	i can not do without shoes in my coffee .	i can not do without clothes in my coffee .	 shoes,  clothes	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	2	0
28	i can not do without rain in my coffee .	i can not do without weather in my coffee .	 rain,  weather	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
29	i can not do without pasta in my coffee .	i can not do without food in my coffee .	 pasta,  food	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	2	0
30	i can not do without apples in my coffee .	i can not do without fruit in my coffee .	 apples,  fruit	p	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
35	i can not do without swing in my coffee .	i can not do without music in my coffee .	 swing,  music	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	2	0
36	i can not do without first - year students in my coffee .	i can not do without students in my coffee .	 first-year students,  students	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	2	0
39	i can not do without meat in my coffee .	i can not do without fruit in my coffee .	 meat,  fruit	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
40	i can not do without sleet in my coffee .	i can not do without weather in my coffee .	 sleet,  weather	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	1	0
41	i can not do without sausages in my coffee .	i can not do without fruit in my coffee .	 sausages,  fruit	p	m	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
42	i can not do without meat in my coffee .	i can not do without food in my coffee .	 meat,  food	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	2	0
44	i can not do without pasta in my coffee .	i can not do without weather in my coffee .	 pasta,  weather	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
0	i can not do without food in my coffee .	i can not do without fruit in my coffee .	 food,  fruit	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
1	i can not do without seafood in my coffee .	i can not do without oysters in my coffee .	 seafood,  oysters	m	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
3	i can not do without food in my coffee .	i can not do without rap in my coffee .	 food,  rap	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
7	i can not do without music in my coffee .	i can not do without rap in my coffee .	 music,  rap	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
10	i can not do without meat in my coffee .	i can not do without pork in my coffee .	 meat,  pork	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
11	i can not do without sugar in my coffee .	i can not do without brown sugar in my coffee .	 sugar,  brown sugar	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
12	i can not do without food in my coffee .	i can not do without mittens in my coffee .	 food,  mittens	m	p	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
13	i can not do without clothes in my coffee .	i can not do without peaches in my coffee .	 clothes,  peaches	p	p	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
14	i can not do without people in my coffee .	i can not do without women in my coffee .	 people,  women	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
15	i can not do without food in my coffee .	i can not do without hats in my coffee .	 food,  hats	m	p	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
17	i can not do without pie in my coffee .	i can not do without apple pie in my coffee .	 pie,  apple pie	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
20	i can not do without weather in my coffee .	i can not do without snow in my coffee .	 weather,  snow	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
25	i can not do without things in my coffee .	i can not do without files in my coffee .	 things,  files	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
26	i can not do without clothes in my coffee .	i can not do without shoes in my coffee .	 clothes,  shoes	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
28	i can not do without weather in my coffee .	i can not do without rain in my coffee .	 weather,  rain	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
29	i can not do without food in my coffee .	i can not do without pasta in my coffee .	 food,  pasta	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
30	i can not do without fruit in my coffee .	i can not do without apples in my coffee .	 fruit,  apples	m	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
35	i can not do without music in my coffee .	i can not do without swing in my coffee .	 music,  swing	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
36	i can not do without students in my coffee .	i can not do without first - year students in my coffee .	 students,  first-year students	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
39	i can not do without fruit in my coffee .	i can not do without meat in my coffee .	 fruit,  meat	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
40	i can not do without weather in my coffee .	i can not do without sleet in my coffee .	 weather,  sleet	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
41	i can not do without fruit in my coffee .	i can not do without sausages in my coffee .	 fruit,  sausages	m	p	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
42	i can not do without food in my coffee .	i can not do without meat in my coffee .	 food,  meat	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	2	2
44	i can not do without weather in my coffee .	i can not do without pasta in my coffee .	 weather,  pasta	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	2	4
0	tom felt that there was no fruit .	tom felt that there was no food .	 fruit,  food	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
2	tom felt that there was no hospital .	tom felt that there was no building .	 hospital,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
3	tom felt that there was no rap .	tom felt that there was no food .	 rap,  food	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	5
4	tom felt that there was no hound .	tom felt that there was no dog .	 hound,  dog	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
5	tom felt that there was no potato .	tom felt that there was no vegetable .	 potato,  vegetable	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
6	tom felt that there was no watermelon .	tom felt that there was no fruit .	 watermelon,  fruit	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
7	tom felt that there was no rap .	tom felt that there was no music .	 rap,  music	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
8	tom felt that there was no lass .	tom felt that there was no woman .	 lass,  woman	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
9	tom felt that there was no person .	tom felt that there was no man .	 person,  man	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
10	tom felt that there was no pork .	tom felt that there was no meat .	 pork,  meat	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
11	tom felt that there was no brown sugar .	tom felt that there was no sugar .	 brown sugar,  sugar	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
16	tom felt that there was no plant .	tom felt that there was no tree .	 plant,  tree	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
17	tom felt that there was no apple pie .	tom felt that there was no pie .	 apple pie,  pie	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
18	tom felt that there was no child .	tom felt that there was no person .	 child,  person	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
19	tom felt that there was no palace .	tom felt that there was no building .	 palace,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
20	tom felt that there was no snow .	tom felt that there was no weather .	 snow,  weather	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
21	tom felt that there was no oak .	tom felt that there was no tree .	 oak,  tree	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
22	tom felt that there was no club .	tom felt that there was no building .	 club,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
23	tom felt that there was no building .	tom felt that there was no vehicle .	 building,  vehicle	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
24	tom felt that there was no library .	tom felt that there was no building .	 library,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
27	tom felt that there was no wife .	tom felt that there was no woman .	 wife,  woman	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
28	tom felt that there was no rain .	tom felt that there was no weather .	 rain,  weather	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
29	tom felt that there was no pasta .	tom felt that there was no food .	 pasta,  food	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
31	tom felt that there was no girl .	tom felt that there was no person .	 girl,  person	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
32	tom felt that there was no dog .	tom felt that there was no hound .	 dog,  hound	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
33	tom felt that there was no tomato .	tom felt that there was no vegetable .	 tomato,  vegetable	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
34	tom felt that there was no cherry tree .	tom felt that there was no tree .	 cherry tree,  tree	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
35	tom felt that there was no swing .	tom felt that there was no music .	 swing,  music	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
37	tom felt that there was no woman .	tom felt that there was no adult .	 woman,  adult	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
38	tom felt that there was no creature .	tom felt that there was no vehicle .	 creature,  vehicle	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
39	tom felt that there was no meat .	tom felt that there was no fruit .	 meat,  fruit	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
40	tom felt that there was no sleet .	tom felt that there was no weather .	 sleet,  weather	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
42	tom felt that there was no meat .	tom felt that there was no food .	 meat,  food	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
43	tom felt that there was no court .	tom felt that there was no building .	 court,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	3
44	tom felt that there was no pasta .	tom felt that there was no weather .	 pasta,  weather	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
0	tom felt that there was no food .	tom felt that there was no fruit .	 food,  fruit	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
2	tom felt that there was no building .	tom felt that there was no hospital .	 building,  hospital	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	2	1
3	tom felt that there was no food .	tom felt that there was no rap .	 food,  rap	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	5
4	tom felt that there was no dog .	tom felt that there was no hound .	 dog,  hound	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
5	tom felt that there was no vegetable .	tom felt that there was no potato .	 vegetable,  potato	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
6	tom felt that there was no fruit .	tom felt that there was no watermelon .	 fruit,  watermelon	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
7	tom felt that there was no music .	tom felt that there was no rap .	 music,  rap	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
8	tom felt that there was no woman .	tom felt that there was no lass .	 woman,  lass	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
