	premise	hypothesis	insertion_pair	X_grammar	Y_grammar	insertion_rel	source	context_monotonicity	context	gold_label	model_predictions	composite
0	I can not do without fruit in my coffee.	I can not do without food in my coffee.	 fruit,  food	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
1	I can not do without oysters in my coffee.	I can not do without seafood in my coffee.	 oysters,  seafood	p	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
3	I can not do without rap in my coffee.	I can not do without food in my coffee.	 rap,  food	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	0	4
7	I can not do without rap in my coffee.	I can not do without music in my coffee.	 rap,  music	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
10	I can not do without pork in my coffee.	I can not do without meat in my coffee.	 pork,  meat	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
11	I can not do without brown sugar in my coffee.	I can not do without sugar in my coffee.	 brown sugar,  sugar	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
12	I can not do without mittens in my coffee.	I can not do without food in my coffee.	 mittens,  food	p	m	none	MED	up	I can not do without x in my coffee.	non-entailment	0	4
13	I can not do without peaches in my coffee.	I can not do without clothes in my coffee.	 peaches,  clothes	p	p	none	MED	up	I can not do without x in my coffee.	non-entailment	0	4
14	I can not do without women in my coffee.	I can not do without people in my coffee.	 women,  people	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
15	I can not do without hats in my coffee.	I can not do without food in my coffee.	 hats,  food	p	m	none	MED	up	I can not do without x in my coffee.	non-entailment	0	4
17	I can not do without apple pie in my coffee.	I can not do without pie in my coffee.	 apple pie,  pie	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
20	I can not do without snow in my coffee.	I can not do without weather in my coffee.	 snow,  weather	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
25	I can not do without files in my coffee.	I can not do without things in my coffee.	 files,  things	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
26	I can not do without shoes in my coffee.	I can not do without clothes in my coffee.	 shoes,  clothes	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
