source	context	monotonicity	operator	distractor operator	singular	mass	plural								
MED	An Irishman won a x.	up			x										
MED	No x finished the report on time.	down	no		x										
MED	No delegate finished the x on time.	up		no	x	x	x								
MED	Some x finished the survey on time.	up	some		x		x								
MED	Many delegates obtained x from the survey.	up				x	x								
MED	Both commissioners used to be x.	up					x								
MED	Neither x spends time at home.	down	neither		x										
MED	At least three x spend time at home.	up	at least				x								
MED	At most ten x spend time at home.	down	at most				x								
MED	Several x got the results published.	up	several				x								
MED	Several x got the results published on time.	up	several				x								
MED	Most x can travel freely within Europe.	down	most				x								
MED	Most Europeans can travel freely within x.	down		most			x								
MED	A few x are from Scandinavia.	up	a few				x								
MED	Few x are from southern Europe.	down	few				x								
MED	Some x like to scratch their ears.	up	some				x								
MED	Cruz has frequently derided as amnesty various x that confer legal status or citizenship on people living in the country illegally.	up					x								
MED	In many x, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	up	many				x								
MED	We consider some x as positive examples and sample negatives at random from the dictionary.	up	some				x								
MED	We consider all x as positive examples and sample negatives at random from the dictionary.	down	all				x								
MED	We consider all words as x and sample negatives at random from the dictionary.	up		all		x	x								
MED	All x like to scratch their ears.	down	all				x								
MED	Cruz has frequently derided as amnesty any x that confers legal status or citizenship on people living in the country illegally.	down	any		x	x									
MED	In all x, human activity has changed the form of river channels, altering magnitudes and frequencies of flooding.	down	all				x								
MED	No x made it to Abbott’s desk by the end of the legislative session in May.	down	no		x	x	x								
MED	No bills made it to Abbott’s x by the end of the legislative session in May.	down	no		x	x	x								
MED	You know that some x must be taken when grandma reacts with the sad emoji.	up	some			x	x								
MED	I have never seen a x.	down	never		x										
MED	Regional governors could not rely on x for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.	down	not			x	x								
MED	The 15th tank corps was a tank corps of the soviet union's x.	up			x										
MED	In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their x from others in the context, leading to many kinds of pragmatic meaning enrichment.	up			x	x	x								
MED	So there is no dedicated x for every entity and no distinction between entity mentions and non-mention words.	down	no		x										
MED	A x rolled across the glade.	up			x										x
MED	I don't want to have to keep entertaining x.	down				x	x								
MED	I want to keep entertaining x.	down		don't		x	x								
MED	The x gradually shifted to the left lane.	up			x	x	x								
MED	There are some x around Mt. Fuji.	up	some				x								
MED	A x knows the difference between the 2009 and 2013 vintage of a German riesling.	down			x										
MED	Some people say thirteen is an unlucky x.	up			x	x									
MED	I can not do without x in my coffee.	up		not, without		x	x								
MED	You can't live without x.	up		not, without		x	x								
MED	Every sentence in that x is important.	up		every	x	x									
MED	x is no laughing matter.	up		no		x									
MED	All is in the hands of x, therefore wash them often.	up		all			x								
MED	Some x bloom in spring and others in autumn.	up	some				x								
MED	x can not exist without water.	up		without		x	x								
